,ad_num,company,model,price,engine,year,hand,km,eng_kind,test,current_owner,prev_owner,צבע,gearbox,trader,area,sub_area
105,76809280,אאודי, Q3,72500,1984,2014,3,160000,7,24-Jan,0,0,שחור,0,0,2,ראשון לציון
106,64059825,סקודה, קודיאק,170000,1498,2020,1,160000,7,24-Feb,0,0,כסוף,0,0,2,בית חשמונאי
107,66837942,וולוו, XC60,210000,1969,2019,1,54800,7,23-Jul,0,0,לבן,0,0,2,רמלה
108,66837942,וולוו, XC60,210000,1969,2019,1,54800,7,23-Jul,0,,לבן,0,0,2,רמלה
109,57525110,טסלה, מודל 3,205000,,2021,1,35735,2,23-Jun,0,,אפור,0,0,2,לוד
110,99793163,יונדאי, אלנטרה (2016 ואילך),97000,1591,2020,3,23212,7,24-Jan,0,0,לבן,0,0,2,בני ברק
111,89960612,יונדאי, סונטה הייבריד,168000,1999,2021,1,84000,7,24-Jan,0,0,חום,0,0,2,תל אביב יפו
112,89195383,פיג'ו,508,25000,1598,2014,3,119000,7,23-Jun,0,1,אפור,0,0,2,ראש העין
113,66472053,מרצדס, CLA,119900,1595,2016,3,108000,7,24-Mar,0,0,לבן,0,0,2,חולון
114,76286157,ג'יפ / Jeep, רנגלר קצר,195000,3604,2015,1,55000,7,24-May,0,0,שחור,0,0,2,תל אביב יפו
115,88682289,קיה, סטוניק,87000,1368,2021,2,56000,7,24-Feb,0,1,אפור,0,0,2,בת ים
116,85180227,סוזוקי, ויטרה,95000,998,2020,2,20000,7,23-Nov,0,1,כסוף,0,0,2,ראשון לציון
117,85298500,פורד, אקספלורר,150000,3497,2017,2,118200,7,23-Nov,0,3,אפור,0,0,2,גני תקווה
118,48352929,שברולט, סוברבן,247000,5328,2018,1,126000,7,24-Mar,0,3,אפור,0,0,2,רמת גן
119,64935389,לקסוס, GS300H,115000,2494,2016,3,148000,7,23-Apr,0,0,כסוף,0,0,2,ראש העין
120,52616157,מאזדה, CX-5,149000,1998,2021,2,48000,7,23-Jul,0,0,אפור,0,0,2,אזור
121,62923783,קיה, ספורטז',72500,1591,2016,2,99400,7,23-Oct,0,1,שחור,0,0,2,ראש העין
122,53677801,ניסאן, קשקאי,84000,1197,2017,1,92000,7,24-Mar,0,1,לבן,0,0,2,פתח תקווה
123,97402912,ניסאן, אקס טרייל,145000,1749,2020,1,31500,6,23-Sep,0,1,כסוף,0,0,2,בני ברק
124,96233612,ב.מ.וו, סדרה 7,120000,2979,2013,3,174265,7,24-Sep,0,0,אפור,0,0,2,לוד
125,65338683,פיג'ו,3008,119000,1499,2019,1,71000,6,23-Sep,0,0,כחול,0,0,2,תל אביב יפו
126,99595188,קיה, ספורטז',61000,1591,2015,2,112000,7,23-Aug,0,0,לבן,0,0,2,ראשון לציון
127,93948754,סקייוול, ET5,185000,,2022,1,43333,2,23-Jul,0,0,לבן,0,0,2,מודיעין מכבים רעות
128,59853061,יונדאי, איוניק,96000,1580,2020,1,80000,7,24-Jan,1,0,אפור,0,0,2,רמת גן
129,93128271,סיטרואן, C4 קקטוס,58699,1199,2018,2,95000,7,23-May,0,0,שחור,0,0,2,בית דגן
130,62215953,טויוטה, אוריס הייבריד,30000,1798,2015,1,350000,7,24-Mar,0,0,לבן,0,0,2,פתח תקווה
131,79083725,יונדאי, טוסון,175000,1598,2022,1,4900,7,24-Feb,0,0,לבן,0,0,2,תל אביב יפו
132,84143643,ניסאן, קשקאי,42500,1997,2013,2,152353,7,24-Apr,0,1,לבן,0,0,2,רמת גן
133,82867450,יונדאי, איוניק,91000,1580,2018,1,84000,7,23-Jun,0,1,לבן,0,0,2,פתח תקווה
134,57462003,סובארו, XV,120000,1995,2020,1,75500,7,24-Feb,0,1,אדום,0,0,2,תל אביב יפו
135,43043047,מיצובישי, אאוטלנדר,47900,1998,2012,1,174000,7,24-Apr,0,1,חום,0,0,2,קרית אונו
136,69425473,סוזוקי, SX4 קרוסאובר,54986,1373,2017,1,195000,7,23-Jun,5,1,לבן,0,0,2,ראשון לציון
137,86725955,שברולט, ספארק,79000,1399,2020,1,34000,7,24-May,0,1,לבן,0,0,2,רמת גן
138,74361713,טויוטה, RAV4 הייבריד,227000,2487,2023,1,34000,7,24-May,0,1,אפור,0,0,2,מודיעין מכבים רעות
139,48669268,סובארו, פורסטר,85000,1995,2017,1,132000,7,24-Feb,0,1,אפור,0,0,2,תל אביב יפו
140,81628155,אם. ג'י. / MG, ZS,120000,,2020,1,26000,2,24-Jan,0,1,תכלת,0,0,2,סביון
141,57425150,ב.מ.וו, סדרה 7,245000,1998,2017,3,105000,3,23-May,0,0,לבן,0,0,2,רמלה
142,85577306,מאזדה, CX-5,169000,2488,2021,1,22000,7,24-May,0,0,לבן,0,0,2,בת ים
143,57810444,מרצדס, C-Class קופה / קבריולט,355000,1991,2021,2,31000,7,24-May,0,0,אפור,0,0,2,תל אביב יפו
144,81549949,אאודי, Q3,175000,1498,2019,2,32400,7,,0,0,לבן,0,0,2,רמת גן
145,97046374,יונדאי, סנטה פה,193000,2359,2020,2,56000,7,24-Jan,0,0,לבן,0,0,2,שוהם
146,93336184,מאזדה, CX-5,195000,2488,2020,1,28000,7,23-Jul,0,0,לבן,0,0,2,אור יהודה
147,99727137,מאזדה, CX-5,128000,1998,2019,1,101500,7,23-Jun,0,0,שחור,0,0,2,שוהם
148,65139855,קיה, ספורטז',92000,1999,2017,1,116000,7,23-Nov,0,0,שחור,0,0,2,באר יעקב
149,57768714,קיה, ספורטז',56000,1591,2015,1,135500,7,24-Apr,0,0,לבן,0,0,2,בני ברק
150,67105149,מרצדס, CLA,299000,1332,2021,1,1600,3,23-May,0,0,שחור,0,0,2,ראשון לציון
151,95063766,סיטרואן, C3,80800,1199,2020,1,45500,7,24-Mar,0,0,אפור,0,0,2,רמת גן
152,92930234,סקודה, קודיאק,159000,1498,2019,1,40000,7,23-Nov,0,0,שחור,0,0,2,יהוד מונוסון
153,74328357,קיה, ספורטז',61000,1591,2015,2,147000,7,23-May,0,0,לבן,0,0,2,מודיעין מכבים רעות
154,46239716,פורד, פוקוס,28000,1498,2015,2,255613,7,24-Mar,0,0,לבן,0,0,2,תל אביב יפו
155,72768030,אאודי, Q5,55000,1984,2010,2,170000,7,24-Jan,0,0,לבן,0,0,2,ראשון לציון
156,65550022,ג'יפ / Jeep, גרנד צ'ירוקי,99000,5700,2009,4,195000,7,23-Dec,0,0,לבן,0,0,2,ראשון לציון
157,42288640,ניסאן, אקס טרייל,102000,1598,2017,2,95000,6,24-Apr,0,0,אפור,0,0,2,חולון
158,48784480,פיג'ו, 208 GTI,70000,1598,2017,1,40000,7,23-Jul,0,0,שחור,1,0,2,גבעתיים
159,64653602,קיה, פיקנטו,67000,1248,2017,1,58000,7,24-Jan,0,0,לבן,0,0,2,פתח תקווה
160,87361768,סקודה, קודיאק,140000,1968,2017,2,143000,6,23-Oct,0,0,בז',0,0,2,ראשון לציון
161,72008177,פיג'ו,508,129500,1598,2020,2,57000,7,23-Jul,0,0,לבן,0,0,2,קרית אונו
162,48004030,איווייס, U5,149000,,2022,1,14000,2,23-Jun,0,,אפור,0,0,2,תל אביב יפו
163,52195605,סוזוקי, ליאנה,13000,1586,2007,2,150767,7,24-Feb,0,0,אפור,0,0,2,תל אביב יפו
164,93448777,סיאט, לאון,65000,1395,2016,2,83000,7,23-Jun,0,0,טורקיז,1,0,2,מודיעין מכבים רעות
165,51163433,ג'יפ / Jeep, גרנד צ'ירוקי,290000,3604,2022,2,14000,7,23-Sep,0,0,טורקיז,0,0,2,ראשון לציון
166,79253687,סיאט, ארונה,,999,2020,1,73000,7,23-Jun,0,0,אפור,0,0,2,פתח תקווה
167,41462208,קיה, ספורטז',98000,1999,2017,1,85000,7,23-Aug,0,0,שחור,0,0,2,פתח תקווה
168,58627504,מיצובישי, אאוטלנדר,96000,1998,2016,2,120000,7,23-Jun,0,1,שחור,0,0,2,חולון
169,75073451,סקודה, קודיאק,182300,1498,2021,1,30000,7,24-Mar,0,1,כחול,0,0,2,תל אביב יפו
170,69408848,קיה, נירו הייבריד,104000,1580,2018,2,105000,7,24-Jan,0,0,אפור,0,0,2,אור יהודה
171,68515981,וולוו, XC40,279000,1477,2023,1,3400,3,23-Dec,0,0,שחור,0,0,2,רמת גן
172,48209862,קיה, פיקנטו,63000,1197,2017,3,28762,7,23-Oct,0,0,לבן,0,0,2,רמת גן
173,91967450,סובארו, פורסטר,149000,2498,2020,1,46000,7,23-Nov,0,0,לבן,0,0,2,רמת גן
174,74991562,סיטרואן, ברלינגו דור 3 (2018 ואילך),45000,1560,2019,1,227,6,24-Jan,0,0,לבן,1,0,2,רמלה
175,65702502,טסלה, מודל 3,189000,,2021,1,72000,2,23-Jun,0,0,לבן,0,0,2,ראשון לציון
176,86067772,סיטרואן, C4 קקטוס,20000,1199,2015,3,160000,7,23-Jul,0,0,אדום,1,0,2,תל אביב יפו
177,63403707,סקודה, אוקטביה,66000,1798,2015,2,97000,7,24-Jan,0,0,לבן,0,0,2,יהוד מונוסון
178,82937586,יגואר, F-Pace,299000,1997,2020,1,37000,7,23-Jul,0,0,לבן,0,0,2,רמת גן
179,65874914,מרצדס, A-Class,99900,1595,2017,2,157000,7,24-Jan,0,3,שחור,0,0,2,ראשון לציון
180,65874914,מרצדס, A-Class,99900,1595,2017,2,157000,7,24-Jan,0,3,שחור,0,0,2,ראשון לציון
181,45789607,מאזדה,3,15650,1999,2006,5,250000,7,23-Nov,0,0,שחור,0,0,2,בני ברק
182,46474126,טויוטה, לנד קרוזר קצר,,2982,2007,5,320000,6,23-May,0,0,שחור,0,0,2,ראשון לציון
183,63283386,מיצובישי, אאוטלנדר,104000,1998,2017,2,102000,7,23-Sep,0,0,לבן,0,0,2,פתח תקווה
184,97534151,טויוטה, קורולה הייבריד,122000,1798,2020,1,77000,7,23-Jul,0,0,אפור,0,0,2,משמר איילון
185,65317726,פורשה, 718 קאיימן,795000,3995,2021,2,13000,7,23-Aug,0,0,ירוק,0,0,2,גני תקווה
186,43476555,טויוטה, היילקס ויגו 4X4,77000,2494,2009,2,360000,6,23-Aug,0,3,לבן,1,0,2,רמלה
187,41555511,טויוטה, היילקס ויגו 4X4,92000,2494,2012,2,320000,6,23-Dec,0,3,לבן,1,0,2,רמלה
188,96286827,רנו, קדגא'ר,79000,1461,2016,2,117000,6,23-Dec,0,0,חום,0,0,2,פתח תקווה
189,89384888,לנד רובר, דיסקברי ספורט,280000,1997,2020,1,22700,7,24-Mar,0,0,לבן,0,0,2,תל אביב יפו
190,43662875,ג'יפ / Jeep, רנגלר ארוך,360000,1995,2021,1,40000,3,23-May,0,0,אפור,0,0,2,תל אביב יפו
191,83937122,ג'יפ / Jeep, רנגלר ארוך,455000,1995,2022,1,31000,3,24-Mar,0,0,אפור,0,0,2,תל אביב יפו
192,57025763,פורד, אקספלורר,165000,3497,2016,1,64000,7,23-Jul,0,0,כסוף,0,0,2,יהוד מונוסון
193,53536082,מיצובישי, אקליפס קרוס,121000,1499,2020,1,53000,7,23-Jul,0,0,שחור,0,0,2,פתח תקווה
194,59515148,מאזדה, CX-5,174000,2488,2019,1,34000,7,24-Feb,0,0,לבן,0,0,2,קרית אונו
195,48857710,מרצדס, G Class,575000,3982,2017,2,68000,7,24-Feb,0,0,שחור,0,0,2,רמת גן
196,62063719,פולקסווגן, טיגואן,110000,1395,2017,1,52000,7,23-May,0,0,לבן,0,0,2,רמת גן
197,49528578,יונדאי, טוסון,120000,1999,2018,3,43000,7,24-Feb,0,0,לבן,0,0,2,ראשון לציון
198,77567253,סוזוקי, ויטרה,126000,1373,2021,1,20600,7,24-Jan,0,,שחור,0,0,2,פתח תקווה
199,45960163,יונדאי, טוסון,125000,1999,2020,1,73000,7,23-May,0,,שחור,0,0,2,רמת גן
200,51335546,לנד רובר, ריינג' רובר איווק,385000,1997,2022,1,8700,7,23-Jun,0,,כסף,0,0,2,תל אביב יפו
201,71076975,הונדה, HR-V,83000,1498,2018,2,91000,7,23-Dec,0,0,שחור,0,0,2,מודיעין מכבים רעות
202,68321457,סוזוקי, גרנד ויטרה,51500,2393,2009,2,200000,7,23-Nov,0,0,אפור,0,0,2,ראשון לציון
203,44552881,קיה, ספורטז',89500,1999,2017,2,69500,7,23-Apr,0,1,לבן,0,0,2,גבעת שמואל
204,99243196,סקודה, קודיאק,159000,1498,2020,1,65000,7,24-Jan,0,1,שחור,0,0,2,מודיעין מכבים רעות
205,57446392,לקסוס, NX,155000,1998,2018,2,125000,7,24-Apr,0,0,לבן,0,0,2,פתח תקווה
206,74620232,קיה, ספורטז',119000,1999,2018,1,30000,7,23-May,0,0,לבן,0,0,2,חולון
207,61135788,סוזוקי, גרנד ויטרה,65000,2393,2012,3,178000,7,24-Feb,0,0,אפור,0,0,2,תל אביב יפו
208,53319195,הונדה, CR-V,28000,1997,2008,4,200000,7,24-Feb,0,0,כחול,0,0,2,ראש העין
209,56948350,הונדה, HR-V,105000,1498,2020,1,47000,7,23-Jul,0,0,שחור,0,0,2,תל אביב יפו
210,83989827,טויוטה, לנד קרוזר ארוך,279000,2755,2018,1,109000,6,24-May,0,0,לבן,0,0,2,ראשון לציון
211,43781326,מאזדה, CX-5,94000,1998,2016,2,86000,7,23-Aug,0,0,שחור,0,0,2,יהוד מונוסון
212,45101482,שברולט, טראוורס,89000,3564,2016,1,111666,7,23-Oct,3,0,כסף,0,0,2,ראשון לציון
213,83856411,מרצדס, EQC,420000,,2022,1,25000,2,23-Aug,0,0,לבן,0,0,2,רמת גן
214,88366993,מיצובישי, אאוטלנדר,98900,1998,2016,1,169500,7,23-Sep,0,0,לבן,0,0,2,מודיעין מכבים רעות
215,81963477,סקודה, קודיאק,179000,1968,2019,1,59000,6,24-Jan,0,0,אפור,0,0,2,קרית אונו
216,73153171,ג'יפ / Jeep, רנגלר ארוך,380000,1995,2022,1,23000,7,25-Jul,0,,אפור,0,0,2,ראשון לציון
217,89572888,קאדילק, XT4,189000,1977,2019,1,42000,7,23-Aug,0,,לבן,0,0,2,פתח תקווה
218,77276021,מיצובישי, אאוטלנדר PHEV,149000,2360,2020,2,74000,3,23-Dec,0,0,לבן,0,0,2,פתח תקווה
219,76786003,יונדאי, סנטה פה,85000,2359,2014,2,144000,7,24-Apr,0,0,לבן,0,0,2,ראשון לציון
220,72890698,מרצדס, GLE קופה,349000,2987,2018,2,149000,6,23-Apr,0,0,לבן,0,0,2,פתח תקווה
221,78839071,וולוו, XC60,291000,1969,2019,1,41500,3,23-Nov,0,0,שחור,0,0,2,מודיעין מכבים רעות
222,95967901,מיצובישי, אאוטלנדר,170000,2488,2021,1,45000,7,24-Jul,0,0,לבן,0,0,2,תל אביב יפו
223,93788907,ב.מ.וו, X3,215000,1998,2018,1,34000,7,23-Jul,0,0,לבן,0,0,2,תל אביב יפו
